,author,content,description,publishedAt,source_id,source_name,title,url,urlToImage,medium,polarity,length,article_similarity,source_similarity,cosine_similarity,subject_matter,cluster
0,Alexander Mallin,"Speaking to supporters at a campaign rally in Montana on Thursday, President Trump went on the offensive against Democrats over what he described as ""sick"" attacks against his nominee for the Supreme Court, Judge Brett Kavanaugh. ""He’s doing really well,"" Tru… [+2777 chars]","President Trump accused Democrats of launching ""sick"" attacks against his Supreme Court nominee Judge Brett Kavanaugh.",2018-09-07T02:00:20Z,abc-news,ABC News,Trump attacks Democrats for 'sick' attacks against Judge Kavanaugh,https://abcnews.go.com/Politics/montana-rally-trump-attacks-democrats-sick-attacks-supreme/story?id=57658298,https://s.abcnews.com/images/US/donald-trump-ap-jpo-180906_hpMain_16x9_992.jpg,text,0.15573558148420552,1,0.7125054773423848,0.29127188715683305,0.7848667911280554,5,2
1,ALI ROGIN,"Despite efforts by most Senate Democrats to protest his nomination and delay his confirmation hearings, Judge Brett Kavanaugh is set to appear before the Senate Judiciary Committee Tuesday to make the case he belongs on the Supreme Court. Following his hearin… [+5966 chars]",Supreme Court nominee Judge Brett Kavanaugh is set to appear before the Senate Judiciary Tuesday for his confirmation hearing.,2018-09-02T13:14:28Z,abc-news,ABC News,"Despite Democrats' opposition, Kavanaugh hearings on track for Tuesday",https://abcnews.go.com/Politics/democrats-opposition-kavanaugh-hearings-track-tuesday/story?id=57501493,https://s.abcnews.com/images/Politics/kavanaugh-1-gty-er-180830_hpMain_16x9_992.jpg,text,0.432750373990641,14,0.5194577825890955,0.6542117399931379,0.38809796898867277,2,2
2,The Associated Press,"Interested in Supreme Court? Add Supreme Court as an interest to stay up to date on the latest Supreme Court news, video, and analysis from ABC News. It's sort of a coordinated dance, but the performers are an organized group of protesters and a dozen or so u… [+3664 chars]",The Senate confirmation hearings for Supreme Court nominee Brett Kavanaugh have become the target of a coordinated activist campaign to disrupt the proceedings,2018-09-05T19:30:25Z,abc-news,ABC News,"Shout, arrest, repeat: Inside the Kavanaugh hearing protests",https://abcnews.go.com/Politics/wireStory/shout-arrest-repeat-inside-kavanaugh-hearing-protests-57626651,https://s.abcnews.com/images/Politics/WireAP_d63d3f82a7824deb86ad8cb27de9d747_16x9_992.jpg,text,0.9065377260759647,6,0.8911850028836886,0.3744180014604326,0.0614734323338505,4,1
3,STEPHANIE EBBS,Protesters were removed from Judge Brett Kavanaugh's confirmation hearing for a second day on Wednesday as Senate Judiciary Committee Chairman Chuck Grassley accused Democrats of coordinating with protesters to disrupt the hearings. Interested in Supreme Cour… [+2511 chars],Protesters were removed from Judge Brett Kavanaugh's confirmation hearing for the second day on Wednesday morning.,2018-09-05T13:51:06Z,abc-news,ABC News,Protesters interrupt Kavanaugh confirmation hearing for second day,https://abcnews.go.com/Politics/protesters-interrupt-brett-kavanaugh-confirmation-hearing-day/story?id=57617263,https://s.abcnews.com/images/Politics/kavanaugh-hearing-gty-ps3-180904_hpMain_16x9_992.jpg,text,0.37260068577188477,3,0.9865588703962505,0.846011195014688,0.05210451809558436,7,1
4,STEPHANIE EBBS,"Confirmation hearings for Supreme Court nominee Brett Kavanaugh began with protests Tuesday, as Democrats objected to what they say is a lack of information about the judge's record and demanding the proceedings be delayed. Interested in Supreme Court? Add Su… [+673 chars]",The Democrats are objecting to a last-minute document release.,2018-09-04T13:50:48Z,abc-news,ABC News,Kavanaugh confirmation hearings begin with protest from Democrats,https://abcnews.go.com/Politics/kavanaugh-confirmation-hearings-begin-protest-democrats/story?id=57590456,https://s.abcnews.com/images/Politics/kavanaugh-gty-er-180711_hpMain_16x9_992.jpg,text,0.663502444842344,17,0.4216387880042346,0.333330198809341,0.23663629443187761,4,1
5,Jordyn Phelps,President Donald Trump says he wants to hear from the accuser of his Supreme Court nominee Brett Kavanaugh but said it's hard for him to believe that the allegation brought by professor Christine Blasey Ford is true. Interested in Donald Trump? Add Donald Tru… [+2255 chars],"President Trump again brushed off the idea of reopening the FBI background check saying, the FBI doesn't do that and said the matter should be handled by the Senate.",2018-09-19T14:23:57Z,abc-news,ABC News,Trump on Brett Kavanaugh: He's being treated 'very tough',https://abcnews.go.com/Politics/trump-brett-kavanaugh-treated-tough/story?id=57932186,https://s.abcnews.com/images/Politics/kavanaugh3-confirm-ht-hb-180906_hpMain_16x9_992.jpg,text,0.08060047173837126,18,0.11012710128018699,0.8858851175948945,0.8680612398503234,9,1
6,The Associated Press,"Interested in Supreme Court? Add Supreme Court as an interest to stay up to date on the latest Supreme Court news, video, and analysis from ABC News. The Trump administration is withholding more than 100,000 pages of Brett Kavanaugh's records from the Bush Wh… [+916 chars]",The pages of records are being withheld on the basis of presidential privilege.,2018-09-01T03:30:36Z,abc-news,ABC News,Trump administration withholds 100K Kavanaugh pages,https://abcnews.go.com/Politics/wireStory/trump-administration-withholds-100k-kavanaugh-pages-57540487,,text,0.6888151436091097,3,0.8936329939473349,0.5459360238122651,0.5546298257244591,8,3
7,Kendall Karson,"Despite the political theatre surrounding Judge Brett Kavanaugh 's confirmation process, Vice President Mike Pence’s support for President Donald Trump ’s Supreme Court pick has not wavered. ""I believe that Judge Brett Kavanaugh will soon be Justice Brett Kav… [+3261 chars]",Vice President Mike Pence’s support for President Donald Trump’s Supreme Court pick has not wavered.,2018-09-22T18:54:15Z,abc-news,ABC News,Pence boasts support for embattled Supreme Court nominee Brett Kavanaugh,https://abcnews.go.com/Politics/pence-boasts-support-embattled-supreme-court-nominee-brett/story?id=57985244,https://s.abcnews.com/images/US/Kavanaugh6-ap-hb-180905_hpMain_3_16x9_992.jpg,text,0.5082530689107065,4,0.8418456607905468,0.32657097747706654,0.6424009769473089,5,2
8,"JUSTIN FISHEL, Trish Turner and ALI ROGIN","Supreme Court Justice nominee Brett Kavanaugh’s accuser, Christine Blasey Ford, is willing to testify before lawmakers as early as next week, her lawyers say, so long as certain terms are met that are “fair and ensure her safety.” Interested in Supreme Court?… [+3845 chars]","SCOTUS justice nominee Brett Kavanaugh’s accuser, Christine Blasey Ford, is willing to testify before lawmakers as early as next week with conditions, her lawyers say.",2018-09-21T15:17:29Z,abc-news,ABC News,"Kavanaugh accuser, senators negotiate terms for possible testimony",https://abcnews.go.com/Politics/kavanaugh-accuser-senate-negotiate-terms-testimony-week/story?id=57984087,https://s.abcnews.com/images/Politics/kavanaugh-gty-er-180904_hpMain_16x9_992.jpg,text,0.8788171176664329,15,0.04301869616604914,0.9797744737491184,0.7523391175345122,8,2
9,Bill Hutchinson,"A California psychology professor who has accused Supreme Court nominee Brett Kavanaugh of sexually assaulting her in high school wants to cooperate with federal lawmakers considering the nomination, but doesn't want to be part of a Washington ""bloodletting,""… [+811 chars]","A woman accusing Supreme Court Nominee Brett Kavanaugh wants to cooperate, but doesn't want to be part of Washington ""bloodletting,"" her attorney said.",2018-09-17T11:56:24Z,abc-news,ABC News,Kavanaugh accuser wants to cooperate on investigation: Attorney,https://abcnews.go.com/US/kavanaugh-accuser-cooperate-probe-part-bloodletting-attorney/story?id=57875179,https://s.abcnews.com/images/Politics/brett-kavanaugh-gty-jt-180917_hpMain_16x9_992.jpg,text,0.9952890728700197,2,0.5063335561208002,0.8666751409358527,0.2687745809968983,3,1
