,author,content,description,medium,publishedAt,source_id,source_name,title,url,urlToImage,polarity,length,article_similarity,source_similarity,cosine_similarity,subject_matter,cluster
0,https://www.facebook.com/bbcnews,Image copyright EPA Image caption Brett Kavanaugh insists judicial independence is key to the constitutional system US President Donald Trump's Supreme Court nominee has declined to say whether he thinks sitting presidents can be made to comply with a legal s… [+4413 chars],Trump's Supreme Court pick Brett Kavanaugh said he would not be drawn on a hypothetical question.,text,2018-09-05T22:25:27Z,bbc-news,BBC News,"Brett Kavanaugh, Supreme Court nominee, sidesteps subpoena question",https://www.bbc.co.uk/news/world-us-canada-45429016,https://ichef.bbci.co.uk/news/1024/branded_news/E2FF/production/_103311185_049074812.jpg,0.35934788563033615,7,0.08837162060416148,0.7844313354197989,0.13159771280152344,5,3
1,https://www.facebook.com/bbcnews,"Image copyright Reuters Image caption Brett Kavanaugh denies the allegations A number of Republicans have said the vote on US President Donald Trump's Supreme Court nominee, Brett Kavanaugh, should be paused while allegations of sexual assault are properly he… [+3595 chars]",Senator Jeff Flake says the US Supreme Court vote should be paused until the alleged victim is heard.,text,2018-09-17T11:38:09Z,bbc-news,BBC News,Brett Kavanaugh: Republican senators call for vote delay,https://www.bbc.co.uk/news/world-us-canada-45546954,https://ichef.bbci.co.uk/news/1024/branded_news/DFEE/production/_103462375_63deb8cf-b686-4dc1-8c26-d5129c66f21b.jpg,0.4965679105330634,1,0.12017114765482784,0.41917278424175275,0.21936493558285397,5,1
2,https://www.facebook.com/bbcnews,Image copyright Researchgate.net/ Getty Image caption Brett Kavanaugh denies the allegations by Christine Blasey Ford A woman who accuses Donald Trump's Supreme Court nominee Brett Kavanaugh of attempted rape has been given more time to decide whether she wil… [+3922 chars],"Christine Blasey Ford's lawyer accuses senators of ""arbitrary"" deadlines over the Kavanaugh hearing.",text,2018-09-22T05:35:40Z,bbc-news,BBC News,Brett Kavanaugh: Judge accuser 'given more time' for hearing,https://www.bbc.co.uk/news/world-us-canada-45609663,https://ichef.bbci.co.uk/news/1024/branded_news/C982/production/_103468515_untitleatq5435d-1.jpg,0.9808112906320898,1,0.4946424351302796,0.08080274381788988,0.323510210519412,9,3
3,https://www.facebook.com/bbcnews,"Image copyright AFP/Getty Image caption Brett Kavanaugh, seen here during his US Senate Judiciary Committee confirmation hearing last week US President Donald Trump's Supreme Court nominee Brett Kavanaugh has denied an allegation of sexual misconduct during h… [+2444 chars]",The allegation against the US Supreme Court nominee dates back to when he was a high-school student.,text,2018-09-14T18:38:27Z,bbc-news,BBC News,Brett Kavanaugh denies sexual misconduct in high school,https://www.bbc.co.uk/news/world-us-canada-45527465,https://ichef.bbci.co.uk/news/1024/branded_news/16FFC/production/_103440249_mediaitem103440248.jpg,0.31613629917075914,11,0.9197569078837268,0.49100498469191034,0.5176636715187709,2,3
4,https://www.facebook.com/bbcnews,Image copyright Researchgate.net/ Getty Image caption Brett Kavanaugh denies the allegations by Christine Blasey Ford The woman who accuses US Supreme Court pick Brett Kavanaugh of sexual assault in 1982 has set out terms for her testifying before a Senate co… [+2940 chars],The woman accusing the US Supreme Court nominee of sexual assault sets out her terms for testifying.,text,2018-09-21T13:39:08Z,bbc-news,BBC News,Brett Kavanaugh accuser sets out terms for testimony,https://www.bbc.co.uk/news/world-us-canada-45603918,https://ichef.bbci.co.uk/news/1024/branded_news/C982/production/_103468515_untitleatq5435d-1.jpg,0.0863326918643117,10,0.7611246301633864,0.05226642610690624,0.8339254751668105,3,2
5,Sabrina Siddiqui in Washington,"Brett Kavanaugh, Donald Trump’s conservative nominee for the US supreme court, faced sharp questions on Capitol Hill on some of the hottest issues raging in American society – abortion, gun rights and presidential power – during the second day of his dramatic… [+4556 chars]","Trump’s supreme court nominee was grilled on abortion, gun rights and presidential power on the second day of his hearing Brett Kavanaugh, Donald Trump’s conservative nominee for the US supreme court, faced sharp questions on Capitol Hill on some of the hotte…",text,2018-09-05T18:14:46Z,the-guardian-au,The Guardian (AU),Brett Kavanaugh sidesteps Senate questions on Roe v Wade,https://www.theguardian.com/us-news/2018/sep/05/brett-kavanaugh-senate-abortion-supreme-court-roe-v-wade,https://i.guim.co.uk/img/media/e57aaa3036c25946379df85fdb33142ca2501b1b/0_66_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc&s=97a89eee719b5a7fc70af6fe6518c139,0.7509228053578225,15,0.371195077083156,0.15268377847279024,0.04879790485598523,2,1
6,https://www.facebook.com/bbcnews,"Image copyright Reuters Image caption Prof Ford says Brett Kavanaugh pinned her to a bed and tried to take off her clothes The woman who accuses US Supreme Court nominee Brett Kavanaugh of attempting to rape her will not testify to the Senate next week, says … [+1002 chars]","Christine Blasey Ford's attorney says her client has been ""deflecting death threats and harassment"".",text,2018-09-19T00:21:38Z,bbc-news,BBC News,Christine Blasey Ford: Kavanaugh accuser 'faces death threats',https://www.bbc.co.uk/news/world-us-canada-45568450,https://ichef.bbci.co.uk/news/1024/branded_news/13373/production/_103470787_hi049360823-1.jpg,0.770577170054043,14,0.0877974256699261,0.07919935647893617,0.21630962391782305,2,2
7,https://www.facebook.com/robert.barnes.3139,The Senate Judiciary Committee on Tuesday begins what is expected to be a four-day hearing on President Trump’s nomination of Judge Brett M. Kavanaugh to be the Supreme Court’s 114th justice. The senators and Kavanaugh will make opening statements on Tuesday.… [+6201 chars],"Washington Post Who is Brett Kavanaugh, President Trump's pick for Supreme Court? Washington Post The Senate Judiciary Committee on Tuesday begins what is expected to be a four-day hearing on President Trump's nomination of Judge Brett M. Kavanaugh to be the …",text,2018-09-03T17:31:18Z,the-washington-post,The Washington Post,"Who is Brett Kavanaugh, President Trump's pick for Supreme Court? - Washington Post",https://www.washingtonpost.com/politics/courts_law/who-is-brett-kavanaugh/2018/09/03/d9226b68-af7d-11e8-a20b-5f4f84429666_story.html,https://www.washingtonpost.com/resizer/rLQM9y3RRXWsto6IFmJF30xIYB8=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GFVGRJVPRYI6RIQLL5HYIQUWMY.jpg,0.6157881030952175,17,0.6000625938800993,0.3462950674404254,0.049352281840176926,1,1
8,Lawrence Hurley,"WASHINGTON (Reuters) - Supreme Court nominee Brett Kavanaugh will face a final barrage of questions on Thursday in a multi-day U.S. Senate confirmation hearing, as Democrats press him on his independence from the man who nominated him, President Donald Trump.… [+3085 chars]","Supreme Court nominee Brett Kavanaugh will face a final barrage of questions on Thursday in a multi-day U.S. Senate confirmation hearing, as Democrats press him on his independence from the man who nominated him, President Donald Trump.",text,2018-09-06T10:03:07Z,reuters,Reuters,"Ducking queries on Trump, Supreme Court nominee resumes U.S. Senate test",https://www.reuters.com/article/us-usa-court-kavanaugh/ducking-queries-on-trump-supreme-court-nominee-resumes-u-s-senate-test-idUSKCN1LM1A0,https://s1.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301424697&w=1200&r=LYNXNPEE850V1,0.26750914195353115,10,0.5950327825231683,0.999597081216943,0.8391486278009357,5,1
9,,"Your usage has been flagged as a violation of our terms of service. For inquiries related to this message please contact support. For sales inquiries, please visit http://www.bloomberg.com/professional/request-demo If you believe this to be in error, please c… [+280 chars]",Bloomberg Democrats Poised to Grill Kavanaugh at Supreme Court Hearing Bloomberg Democrats spent the first day of Brett Kavanaugh's U.S. Supreme Court confirmation hearings criticizing Republicans. Now they will turn to the nominee himself. Kavanaugh closed o…,text,2018-09-05T08:15:39Z,bloomberg,Bloomberg,Democrats Poised to Grill Kavanaugh at Supreme Court Hearing - Bloomberg,https://www.bloomberg.com/tosv2.html?vid=&uuid=159156d0-b0f6-11e8-85e6-796dcb95fa70&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0wOS0wNS9kZW1vY3JhdHMtcG9pc2VkLXRvLXF1ZXN0aW9uLWthdmFuYXVnaC1hcy1jb3VydC1oYW5ncy1pbi1iYWxhbmNl,,0.5107756358619133,5,0.9025932029621376,0.7679366003399326,0.5451264942483378,3,3
